12991, 254, 7
13442, 254, 8
13886, 254, 9
14336, 254, 10
0, 254, 0
4162, 275, 1
5392, 277, 2
5844, 277, 3
6291, 277, 4
6741, 277, 5
7195, 277, 6
7646, 277, 7
8097, 277, 8
8547, 277, 9
8996, 277, 10
0, 0, 0
1139, 6, 1
2263, 7, 2
2705, 7, 3
14176, 52, 4
14613, 52, 5
15050, 52, 6
15485, 52, 7
15916, 52, 8
16356, 52, 9
16791, 52, 10
0, 52, 0
1686, 59, 1
2140, 59, 2
2608, 59, 3
3058, 59, 4
3510, 59, 5
3972, 59, 6
4428, 59, 7
4883, 59, 8
5337, 59, 9
5794, 59, 10
0, 59, 0
4161, 78, 1
15985, 124, 2
16434, 124, 3
18207, 125, 4
21770, 127, 5
22224, 127, 6
29052, 138, 7
29500, 138, 8
29954, 138, 9
30406, 138, 10
0, 138, 0
2883, 152, 1
3330, 152, 2
3776, 152, 3
4215, 152, 4
4650, 152, 5
5095, 152, 6
5539, 152, 7
5990, 152, 8
6434, 152, 9
6878, 152, 10
0, 152, 0
2274, 164, 1
2706, 164, 2
3144, 164, 3
3573, 164, 4
3998, 164, 5
4431, 164, 6
4865, 164, 7
5298, 164, 8
5731, 164, 9
6160, 164, 10
0, 164, 0
13938, 225, 1
14400, 225, 2
14859, 225, 3
15315, 225, 4
15777, 225, 5
16236, 225, 6
16695, 225, 7
17152, 225, 8
21420, 226, 9
21878, 226, 10
0, 226, 0
11319, 284, 1
11772, 284, 2
12225, 284, 3
12679, 284, 4
13131, 284, 5
13585, 284, 6
14039, 284, 7
14494, 284, 8
14947, 284, 9
15402, 284, 10
0, 284, 0
6602, 319, 1
7041, 319, 2
14671, 343, 3
15143, 343, 4
15612, 343, 5
16085, 343, 6
16557, 343, 7
17028, 343, 8
17498, 343, 9
17967, 343, 10
0, 343, 0
0, 0, 0
3708, 22, 1
4174, 22, 2
4641, 22, 3
5107, 22, 4
5576, 22, 5
6044, 22, 6
6510, 22, 7
6976, 22, 8
7444, 22, 9
7911, 22, 10
0, 22, 0
21655, 125, 1
22119, 125, 2
22585, 125, 3
23055, 125, 4
23519, 125, 5
23983, 125, 6
24451, 125, 7
24918, 125, 8
25384, 125, 9
25849, 125, 10
0, 125, 0
9452, 172, 1
9903, 172, 2
10353, 172, 3
10811, 172, 4
11264, 172, 5
11717, 172, 6
12169, 172, 7
12623, 172, 8
13076, 172, 9
13529, 172, 10
0, 172, 0
8874, 217, 1
9363, 217, 2
9845, 217, 3
10331, 217, 4
10818, 217, 5
11295, 217, 6
11781, 217, 7
12268, 217, 8
12758, 217, 9
13245, 217, 10
0, 217, 0
3786, 235, 1
6981, 242, 2
12268, 250, 3
12718, 250, 4
13167, 250, 5
13615, 250, 6
14064, 250, 7
14515, 250, 8
14963, 250, 9
26927, 257, 10
0, 257, 0
0, 0, 0
5458, 27, 1
5920, 27, 2
6381, 27, 3
6842, 27, 4
7303, 27, 5
7763, 27, 6
8224, 27, 7
8682, 27, 8
9143, 27, 9
9604, 27, 10
0, 27, 0
4265, 48, 1
7556, 60, 2
8003, 60, 3
11316, 62, 4
21719, 84, 5
24976, 87, 6
25434, 87, 7
25896, 87, 8
26356, 87, 9
26825, 87, 10
0, 87, 0
